Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2018,Grays Harbor,WA,Truck,0,0,0,"20,738","20,738",0
February 28 2018,Island,WA,Passenger,183,180,363,"63,232","63,595",0.57
February 28 2018,Island,WA,Truck,0,0,0,"21,468","21,468",0
February 28 2018,Jefferson,WA,Passenger,139,85,224,"24,839","25,063",0.89
February 28 2018,Jefferson,WA,Truck,0,0,0,"9,826","9,826",0
February 28 2018,King,WA,Passenger,"12,217","5,318","17,535","1,391,734","1,409,269",1.24
February 28 2018,King,WA,Truck,8,1,9,"189,531","189,540",0
February 28 2018,Kitsap,WA,Passenger,791,433,"1,224","180,170","181,394",0.67
February 28 2018,Kitsap,WA,Truck,1,0,1,"54,503","54,504",0
February 28 2018,Kittitas,WA,Passenger,40,28,68,"29,491","29,559",0.23
February 28 2018,Kittitas,WA,Truck,0,0,0,"14,492","14,492",0
February 28 2018,Klickitat,WA,Passenger,28,29,57,"15,319","15,376",0.37
February 28 2018,Klickitat,WA,Truck,0,0,0,"8,331","8,331",0
February 28 2018,Lewis,WA,Passenger,58,53,111,"58,202","58,313",0.19
February 28 2018,Lewis,WA,Truck,0,0,0,"26,205","26,205",0
February 28 2018,Lincoln,WA,Passenger,4,6,10,"7,872","7,882",0.13
February 28 2018,Lincoln,WA,Truck,0,0,0,"4,697","4,697",0
February 28 2018,Mason,WA,Passenger,85,82,167,"46,213","46,380",0.36
February 28 2018,Mason,WA,Truck,0,0,0,"20,484","20,484",0
February 28 2018,Okanogan,WA,Passenger,8,19,27,"26,636","26,663",0.1
February 28 2018,Okanogan,WA,Truck,0,0,0,"17,098","17,098",0
February 28 2018,Pacific,WA,Passenger,23,18,41,"15,760","15,801",0.26
February 28 2018,Pacific,WA,Truck,0,0,0,"7,794","7,794",0
February 28 2018,Pend Oreille,WA,Passenger,5,3,8,"9,798","9,806",0.08
February 28 2018,Pend Oreille,WA,Truck,0,0,0,"5,930","5,930",0
February 28 2018,Pierce,WA,Passenger,"1,329","1,113","2,442","537,798","540,240",0.45
February 28 2018,Pierce,WA,Truck,0,0,0,"141,564","141,564",0
February 28 2018,San Juan,WA,Passenger,142,51,193,"14,302","14,495",1.33
February 28 2018,San Juan,WA,Truck,0,0,0,"5,877","5,877",0
February 28 2018,Skagit,WA,Passenger,202,161,363,"91,787","92,150",0.39
February 28 2018,Skagit,WA,Truck,1,0,1,"32,876","32,877",0
February 28 2018,Skamania,WA,Passenger,13,8,21,"8,896","8,917",0.24
February 28 2018,Skamania,WA,Truck,0,0,0,"4,117","4,117",0
February 28 2018,Snohomish,WA,Passenger,"2,232","1,212","3,444","527,221","530,665",0.65
February 28 2018,Snohomish,WA,Truck,1,0,1,"125,436","125,437",0
February 28 2018,Spokane,WA,Passenger,343,298,641,"307,554","308,195",0.21
February 28 2018,Spokane,WA,Truck,1,0,1,"95,232","95,233",0
February 28 2018,Stevens,WA,Passenger,12,23,35,"32,620","32,655",0.11
February 28 2018,Stevens,WA,Truck,0,0,0,"19,303","19,303",0
February 28 2018,Thurston,WA,Passenger,568,446,"1,014","194,547","195,561",0.52
February 28 2018,Thurston,WA,Truck,0,0,0,"55,585","55,585",0
February 28 2018,Wahkiakum,WA,Passenger,2,2,4,"2,926","2,930",0.14
February 28 2018,Wahkiakum,WA,Truck,0,0,0,"1,735","1,735",0
February 28 2018,Walla Walla,WA,Passenger,32,34,66,"36,197","36,263",0.18
February 28 2018,Walla Walla,WA,Truck,0,0,0,"13,828","13,828",0
February 28 2018,Whatcom,WA,Passenger,608,267,875,"148,523","149,398",0.59
February 28 2018,Whatcom,WA,Truck,1,0,1,"43,305","43,306",0
February 28 2018,Whitman,WA,Passenger,19,24,43,"23,076","23,119",0.19
February 28 2018,Whitman,WA,Truck,0,0,0,"8,722","8,722",0
February 28 2018,Yakima,WA,Passenger,75,86,161,"167,126","167,287",0.1
February 28 2018,Yakima,WA,Truck,0,0,0,"60,645","60,645",0
February 28 2018,Ozaukee,WI,Passenger,0,1,1,3,4,25
March 31 2018,NULL,NULL,Passenger,8,2,10,"2,272","2,282",0.44
March 31 2018,Juneau,AK,Passenger,0,1,1,37,38,2.63
March 31 2018,Dale,AL,Passenger,0,1,1,69,70,1.43
March 31 2018,Russell,AL,Passenger,1,0,1,49,50,2
March 31 2018,Maricopa,AZ,Passenger,2,1,3,"1,385","1,388",0.22
March 31 2018,Pinal,AZ,Passenger,2,0,2,174,176,1.14
March 31 2018,NULL,CA,Passenger,1,1,2,329,331,0.6
March 31 2018,Alameda,CA,Passenger,0,1,1,343,344,0.29
March 31 2018,Los Angeles,CA,Passenger,7,3,10,"1,167","1,177",0.85
March 31 2018,Marin,CA,Passenger,1,0,1,49,50,2
March 31 2018,Monterey,CA,Passenger,0,2,2,205,207,0.97
March 31 2018,Orange,CA,Passenger,2,1,3,583,586,0.51
March 31 2018,Riverside,CA,Passenger,0,2,2,687,689,0.29
March 31 2018,San Diego,CA,Passenger,5,3,8,"2,654","2,662",0.3
March 31 2018,San Mateo,CA,Passenger,1,1,2,136,138,1.45
March 31 2018,Santa Clara,CA,Passenger,6,1,7,363,370,1.89
March 31 2018,Tulare,CA,Passenger,0,1,1,191,192,0.52
March 31 2018,Tuolumne,CA,Passenger,0,1,1,12,13,7.69
March 31 2018,Ventura,CA,Passenger,0,1,1,334,335,0.3
March 31 2018,El Paso,CO,Passenger,2,0,2,753,755,0.26
March 31 2018,Jefferson,CO,Passenger,0,1,1,74,75,1.33
March 31 2018,Larimer,CO,Passenger,0,1,1,52,53,1.89
March 31 2018,District Of Columbia,DC,Passenger,0,4,4,204,208,1.92
March 31 2018,Kent,DE,Passenger,0,1,1,70,71,1.41
March 31 2018,New Castle,DE,Passenger,1,0,1,28,29,3.45
March 31 2018,Brevard,FL,Passenger,0,1,1,87,88,1.14
March 31 2018,Broward,FL,Passenger,0,1,1,127,128,0.78
March 31 2018,Clay,FL,Passenger,0,1,1,98,99,1.01
March 31 2018,Duval,FL,Passenger,1,1,2,374,376,0.53
March 31 2018,Manatee,FL,Passenger,1,0,1,33,34,2.94
March 31 2018,Miami-Dade,FL,Passenger,0,1,1,113,114,0.88
March 31 2018,Okaloosa,FL,Passenger,1,0,1,173,174,0.57
March 31 2018,Orange,FL,Passenger,2,1,3,166,169,1.78
March 31 2018,Palm Beach,FL,Passenger,0,1,1,71,72,1.39
March 31 2018,Polk,FL,Passenger,1,0,1,61,62,1.61
March 31 2018,Saint Lucie,FL,Passenger,1,0,1,24,25,4
March 31 2018,Santa Rosa,FL,Passenger,1,0,1,85,86,1.16
March 31 2018,Sumter,FL,Passenger,0,1,1,9,10,10
March 31 2018,Volusia,FL,Passenger,0,1,1,31,32,3.12
March 31 2018,Camden,GA,Passenger,0,1,1,170,171,0.58
